COURSE,PREREQ1,CO/PRE,AND/OR,PREREQ2,CO/PRE,AND/OR,PREREQ3,CO/PRE,AND/OR,PREREQ4,CO/PRE
CE F412, ,,, ,,, ,,, ,
CE F413,CE F311,PRE,AND,CE F343,CO,, ,,, ,
CE F415,CE F311,CO,, ,,, ,,, ,
CE F416, ,,, ,,, ,,, ,
CE F417, ,,, ,,, ,,, ,
CE F419,CE F243,PRE,, ,,, ,,, ,
CE F420,CE F311,CO,AND,CE F343,PRE,, ,,, ,
CE F421,CE F311,CO,, ,,, ,,, ,
CE F422, ,,, ,,, ,,, ,
CE F423, ,,, ,,, ,,, ,
CE F425, ,,, ,,, ,,, ,
CE F426,CE F243,PRE,, ,,, ,,, ,
CE F427, ,,, ,,, ,,, ,
CE F428,CE F311,CO,, ,,, ,,, ,
CE F429,CE F243,PRE,, ,,, ,,, ,
CE F430,CE F311,PRE,, ,,, ,,, ,
CE F431, ,,, ,,, ,,, ,
CE F432,CE F241,PRE,, ,,, ,,, ,
CE F433, ,,, ,,, ,,, ,
CE F434, ,,, ,,, ,,, ,
CE F435,CE F241,PRE,, ,,, ,,, ,
CE G544, ,,, ,,, ,,, ,
CE G562,CE F214,PRE,, ,,, ,,, ,
CE G564,CE F311,PRE,AND,CE F343,PRE,, ,,, ,
CE G576,CE F435,PRE,OR,CE G619,PRE,OR,ME G512,PRE,, ,
CHE F211, ,,, ,,, ,,, ,
CHE F212, ,,, ,,, ,,, ,
CHE F213,BITS F111,PRE,, ,,, ,,, ,
CHE F214,CHEM F111,PRE,, ,,, ,,, ,
CHE F241, ,,, ,,, ,,, ,
CHE F242,MATH F211,PRE,, ,,, ,,, ,
CHE F243, ,,, ,,, ,,, ,
CHE F244, ,,, ,,, ,,, ,
CHE F311, ,,, ,,, ,,, ,
CHE F312,CHE F214,CO,AND,CHE F212,CO,AND,CHE F241,CO,AND,CHE F244,CO
CHE F313,CHE F244,PRE,, ,,, ,,, ,
CHE F314, ,,, ,,, ,,, ,
CHE F341,CHE F311,CO,AND,CHE F342,CO,AND,CHE F313,CO,, ,
CHE F342, ,,, ,,, ,,, ,
CHE F343,CHE F314,PRE,AND,CHE F313,PRE,, ,,, ,
CHE F411,CHE F244,PRE,, ,,, ,,, ,
CHE F412,CHE F341,CO,, ,,, ,,, ,
CHE F413,CHE F341,CO,, ,,, ,,, ,
CHE F414,CHE F212,PRE,AND,CHE F241,PRE,AND,CHE F244,PRE,, ,
CHE F415,CHE F213,PRE,, ,,, ,,, ,
CHE F416,CHE F312,PRE,, ,,, ,,, ,
CHE F417,CHE F341,PRE,, ,,, ,,, ,
CHE F418,CHE F242,PRE,AND,CHE F311,PRE,, ,,, ,
CHE F419,CHE F341,CO,, ,,, ,,, ,
CHE F421,CHE F311,CO,, ,,, ,,, ,
CHE F422,CHE F244,PRE,, ,,, ,,, ,
CHE F423,CHE F313,PRE,, ,,, ,,, ,
CHE F424,CHE F212,PRE,, ,,, ,,, ,
CHE F433,CHE F243,PRE,OR,ME F213,PRE,OR,MF F213,PRE,, ,
CHE F471,CHE F342,PRE,, ,,, ,,, ,
CHE F491, ,PRE,, ,,, ,,, ,
CHE G511,CHE F311,PRE,, ,,, ,,, ,
CHE G512,CHE F312,PRE,, ,,, ,,, ,
CHE G513, ,,, ,,, ,,, ,
CHE G522,CHE F311,PRE,, ,,, ,,, ,
CHE G523,CHE F312,PRE,, ,,, ,,, ,
CHE G524,CHE F414,PRE,, ,,, ,,, ,
CHE G526,CHE F312,PRE,, ,,, ,,, ,
CHE G527, ,,, ,,, ,,, ,
CHE G528,CHE F243,PRE,, ,,, ,,, ,
CHE G529,CHE F314,PRE,, ,,, ,,, ,
CHE G532, ,,, ,,, ,,, ,
CHE G533,CHE F312,PRE,, ,,, ,,, ,
CHE G551,CHE F313,PRE,, ,,, ,,, ,
CHE G552, ,,, ,,, ,,, ,
CHE G553, ,,, ,,, ,,, ,
CHE G554, ,,, ,,, ,,, ,
CHE G556, ,,, ,,, ,,, ,
CHE G557, ,,, ,,, ,,, ,
CHE G558, ,,, ,,, ,,, ,
CHE G559, ,,, ,,, ,,, ,
CHE G560, ,,, ,,, ,,, ,
CHE G561, ,,, ,,, ,,, ,
CHE G562, ,,, ,,, ,,, ,
CHE G563, ,,, ,,, ,,, ,
CHE G564, ,,, ,,, ,,, ,
CHE G565, ,,, ,,, ,,, ,
CHE G566, ,,, ,,, ,,, ,
CHE G567, ,,, ,,, ,,, ,
CHE G568, ,,, ,,, ,,, ,
CHE G569, ,,, ,,, ,,, ,
CHE G613,CHE F244,PRE,, ,,, ,,, ,
CHE G614,CHE F312,PRE,, ,,, ,,, ,
CHE G616, ,,, ,,, ,,, ,
CHE G617,CHE F341,PRE,, ,,, ,,, ,
CHE G618,CHE F314,PRE,, ,,, ,,, ,
CHE G619,CHE F343,PRE,, ,,, ,,, ,
CHE G620,CHE F343,PRE,, ,,, ,,, ,
CHE G622,CHE F213,PRE,, ,,, ,,, ,
CHE G641,CHE F311,PRE,, ,,, ,,, ,
CHEM F110, ,,, ,,, ,,, ,
CHEM F111, ,,, ,,, ,,, ,
CHEM F211, ,,, ,,, ,,, ,
CHEM F212, ,,, ,,, ,,, ,
CHEM F213, ,,, ,,, ,,, ,
CHEM F214, ,,, ,,, ,,, ,
CHEM F223, ,,, ,,, ,,, ,
CHEM F241, ,,, ,,, ,,, ,
CHEM F242, ,,, ,,, ,,, ,
CHEM F243, ,,, ,,, ,,, ,
CHEM F244,CHEM F213,PRE,, ,,, ,,, ,
CHEM F311,CHEM F212,CO/PRE,, ,,, ,,, ,
CHEM F312, ,,, ,,, ,,, ,
CHEM F313, ,,, ,,, ,,, ,
CHEM F320,CHEM F244,PRE,, ,,, ,,, ,
CHEM F323, ,,, ,,, ,,, ,
CHEM F324, ,,, ,,, ,,, ,
CHEM F325, ,,, ,,, ,,, ,
CHEM F326, ,,, ,,, ,,, ,
CHEM F327, ,,, ,,, ,,, ,
CHEM F328, ,,, ,,, ,,, ,
CHEM F329, ,,, ,,, ,,, ,
CHEM F330,CHEM F213,PRE,, ,,, ,,, ,
CHEM F333, ,,, ,,, ,,, ,
CHEM F334,CHEM F213,PRE,AND,PHY F212,PRE,, ,,, ,
CHEM F335,CHEM F311,CO/PRE,, ,,, ,,, ,
CHEM F336, ,,, ,,, ,,, ,
CHEM F337, ,,, ,,, ,,, ,
CHEM F341, ,,, ,,, ,,, ,
CHEM F342, ,,, ,,, ,,, ,
CHEM F343, ,,, ,,, ,,, ,
CHEM F412,CHEM F213,PRE,, ,,, ,,, ,
CHEM F413,CHEM F244,PRE,, ,,, ,,, ,
CHEM F414, ,,, ,,, ,,, ,
CHEM F415,CHEM F311,CO/PRE,, ,,, ,,, ,
CHEM F422,CHEM F211,PRE,, ,,, ,,, ,
CS F111, ,,, ,,, ,,, ,
CS F211,CS F222,PRE,OR,MATH F213,PRE,, ,,, ,
CS F212, ,,, ,,, ,,, ,
CS F213,CS F111,PRE,, ,,, ,,, ,
CS F214, ,,, ,,, ,,, ,
CS F215, ,,, ,,, ,,, ,
CS F222, ,,, ,,, ,,, ,
CS F241, ,,, ,,, ,,, ,
CS F301,CS F211,PRE,, ,,, ,,, ,
CS F303,CS F372,PRE,, ,,, ,,, ,
CS F314, ,,, ,,, ,,, ,
CS F316,CS F215,PRE,, ,,, ,,, ,
CS F320,MATH F113,PRE,, ,,, ,,, ,
CS F342,CS F241,PRE,AND,CS F215,PRE,, ,,, ,
CS F351,CS F222,PRE,AND,CS F214,PRE,, ,,, ,
CS F363,CS F351,PRE,AND,CS F301,PRE,, ,,, ,
CS F364,CS F211,PRE,, ,,, ,,, ,
CS F372, ,,, ,,, ,,, ,
CS F401, ,,, ,,, ,,, ,
CS F402,CS F111,PRE,AND,CS F211,PRE,, ,,, ,
CS F407, ,,, ,,, ,,, ,
CS F413, ,,, ,,, ,,, ,
CS F415, ,,, ,,, ,,, ,
CS F422, ,,, ,,, ,,, ,
CS F424, ,,, ,,, ,,, ,
CS F426,CS F211,PRE,, ,,, ,,, ,
CS F427,CS F303,PRE,, ,,, ,,, ,
CS F430,CS F364,PRE,, ,,, ,,, ,
CS F431,CS F211,PRE,, ,,, ,,, ,
CS F441, ,,, ,,, ,,, ,
CS F446, ,,, ,,, ,,, ,
CS F469, ,,, ,,, ,,, ,
CS G518,CS F303,CO,OR,EEE F414,CO,OR,ECE F414,CO,OR,EEE F346,CO
